Adresse;x;y;Arrondissement
- SENTIER DE LA POINTE;48.855603; 2.401617;75020
1 AU 18 RUE DES SAINTS PERES;48.856519; 2.331747;75007
1 AU 24 RUE DE BEAUNE;48.85745; 2.328898;75007
1 AU 26 RUE DU BAC;48.857848; 2.327982;75007
1 AU 31 RUE ROBERT DE FLERS;48.848651; 2.283061;75015
1 AU 42 RUE DE L'UNIVERSITE;48.857696; 2.328188;75007
1 AU 9 AVENUE TRUDAINE;48.881717; 2.345677;75009
1 BOULEVARD DES ITALIENS/BRASSERIE LE CARDINAL;48.871891; 2.339795;75002
1 BOULEVARD POISSONNIERE;48.870665; 2.3478;75002
1 PARVIS DE NOTRE DAME (HOTEL DIEU);48.8601; 2.3507;75004
1 PARVIS NOTRE DAME;48.854342; 2.347729;75004
1 PLACE DE L'ESTRAPADE;48.845058; 2.345069;75005
1 PLACE DE NOTRE DAME;48.852776; 2.351614;75004
1 PLACE DU CHATELET;48.8576; 2.346755;75001
1 PLACE DU PALAIS ROYAL;48.862728; 2.336185;75001
1 PLACE DU PARVIS DE NOTRE DAME;48.854342; 2.347729;75004
1 PLACE DU PARVIS DE NOTRE DAME (HOTEL DIEU);48.8601; 2.3507;75004
1 PLACE DU TROCADERO;48.862323; 2.281879;75016
1 QUAI AUX FLEURS;48.852888; 2.352022;75004
1 QUAI D'AUSTERLITZ;48.837639; 2.373294;75013
1 RUE ANDRIEU;48.880669; 2.319169;75008
1 RUE BOIS LE VENT;48.857471; 2.277292;75016
1 RUE DE BRETAGNE;48.861922; 2.364326;75003
1 RUE DE CASTIGLIONE;48.865506; 2.327274;75001
1 RUE DE CHAZELLES;48.879445; 2.303292;75017
1 RUE DE LIBOURNE/HOTEL PULLMAN;48.831471; 2.387386;75012
1 RUE DES ABBESSES;48.883687; 2.339512;75018
1 RUE DES DARDANELLES;48.881776; 2.28504;75017
1 RUE DES ENVIERGES;48.871595; 2.385858;75020
1 RUE DES GRANDS AUGUSTINS;48.855084; 2.34145;75006
1 RUE DESCARTES;48.847466; 2.348593;75005
1 RUE DU CAPITAINE OLCHANSKI;48.849501; 2.266018;75016
1 RUE DU PARVIS DE NOTRE DAME;48.854342; 2.347729;75004
1 RUE DU SABOT;48.852881; 2.3314;75006
1 RUE FAIDHERBE;48.850663; 2.384172;75011
1 RUE FERDINAND GAMBON;48.853077; 2.407354;75020
1 RUE MIRABEAU;48.847069; 2.272921;75016
1 RUE PANHARD;48.838779; 2.359355;75013
1 RUE RENE PANHARD;48.838779; 2.359355;75013
1 RUE RENE PANHARD OU 292 RUE ST MARTIN;48.838779; 2.359355;75013
1 RUE ROBERT ESNAULT PELTERIE;48.862338; 2.315236;75007
1 RUE SAINT YVES;48.825622; 2.334291;75014
1/11 RUE FOYATIER;48.885663; 2.342313;75018
1/12 VILLA CLAUDE MONET;48.881557; 2.39017;75019
1/12 VILLA CRONSTADT;48.881048; 2.390815;75019
1/2 AVENUE D'IENA;48.863096; 2.292502;75016
1/3 RUE CAMILLE BLAIZOT (TERRE-PLEIN);48.899266; 2.32866;75017
1/3 RUE DES GRANDS AUGUSTINS;48.854898; 2.341235;75006
1/3 RUE HENRI RIBIERE;48.876358; 2.395117;75019
1/3 RUE PAJOU;48.856923; 2.273142;75016
1/5 RUE SAINT ELEUTHERE;48.88567; 2.342206;75018
10 AVENUE D'IENA;48.863773; 2.293222;75016
10 BOULEVARD DU PALAIS;48.854983; 2.345426;75001
10 BOULEVARD EMILE AUGIER;48.859017; 2.273683;75016
10 PLACE DU PANTHEON;48.846969; 2.345859;75005
10 RUE ALLET STEVENS;48.854901; 2.266094;75016
10 RUE BOULLE;48.856822; 2.372255;75011
10 RUE CHARLES DELESCLUZE;48.852497; 2.380229;75011
10 RUE CHARLOT;48.861448; 2.361005;75003
10 RUE CHATEAUBRIAND/HOTEL ATALA;48.873405; 2.302266;75008
10 RUE D'ALSACE;48.878292; 2.358371;75010
10 RUE DE BUCI (SALON DE COIFFURE);48.853871; 2.337483;75006
10 RUE DE LA VERRERIE;48.85723; 2.355111;75004
10 RUE DE SAINTONGE;48.861457; 2.362193;75003
10 RUE DES MESSAGERIES;48.876351; 2.349935;75010
10 RUE DESIREE;48.864836; 2.39204;75020
10 RUE DIEU;48.870349; 2.364755;75010
10 RUE DU SENTIER;48.868821; 2.345782;75002
10 RUE EMILE GILBERT;48.846656; 2.373224;75012
10 RUE FRANCOIS PONSARD;48.859093; 2.274622;75016
10 RUE FROMENTIN;48.882596; 2.334763;75009
10 RUE LEON FRAPIE;48.873825; 2.412414;75020
10 RUE SAINT BERNARD;48.851097; 2.381639;75011
10 SQUARE DE CLIGNANCOURT;48.893009; 2.34697;75018
10 SQUARE DE L'ALBONI;48.85826; 2.286751;75016
10/12 BOULEVARD SAINT MICHEL;48.847074; 2.340926;75005
10/22 RUE HEGESIPPE MOREAU;48.887545; 2.327652;75018
100 AVENUE DE SAINT OUEN (TOIT IMMEUBLE);48.8835; 2.3219;75017
100 BOULEVARD DIDEROT;48.847125; 2.385157;75012
101 AVENUE DE LA REPUBLIQUE;48.863529; 2.384508;75011
101 AVENUE DE LA REPUBLIQUE/LYCEE PREVERT;48.863529; 2.384508;75011
101 AVENUE DE LA REPUBLIQUE/LYCEE VOLTAIRE;48.863529; 2.384508;75011
101 RUE DE L'UNIVERSITE (ASSEMBLEE NATIONALE);48.861153; 2.320283;75007
101 RUE DE MIROMESNIL;48.880528; 2.315292;75008
102BIS RUE DE BAGNOLET;48.859546; 2.402968;75020
103/111 BOULEVARD DE GRENELLE;48.849334; 2.297753;75015
104 BOULEVARD MALESHERBES;48.881759; 2.311725;75017
105 BOULEVARD SAINT MICHEL;48.847681; 2.340826;75006
105 RUE DU FAUBOURG DU TEMPLE/LA JAVA;48.871005; 2.373872;75010
108 RUE DE MEAUX;48.885417; 2.381279;75019
108 RUE DU RUISSEAU;48.897159; 2.342309;75018
108 RUE SAINT LAZARE;48.875559; 2.325348;75008
108 RUE SAINT LAZARE/HOTEL HILTON;48.875559; 2.325348;75008
109 RUE D'OBERKAMPF;48.86583; 2.377804;75011
109/25 RUE DE LA DUEE;48.871366; 2.396809;75020
11 AVENUE DU PRESIDENT WILSON;48.864632; 2.297061;75016
11 BIS RUE DU PERCHE;48.860983; 2.360985;75003
11 BOULEVARD POISSONNIERE;48.870891; 2.345744;75002
11 PLACE D'ALIGRE;48.849129; 2.378532;75012
11 PLACE DAUPHINE/PALAIS DE JUSTICE;48.856212; 2.342446;75001
11 RUE BAILLY;48.865103; 2.355877;75003
11 RUE CHARDON LAGACHE;48.844977; 2.26667;75016
11 RUE CHARDON LAGACHE (HOPITAL STE PERINE);48.844977; 2.26667;75016
11 RUE DE LA FORGE ROYALE;48.851314; 2.380487;75011
11 RUE DES TAILLANDIERS;48.854104; 2.375256;75011
11 RUE FERDINAND GAMBON;48.85373; 2.407056;75020
11 RUE HELDER;48.872028; 2.334905;75009
11 RUE HELDER/HOTEL RICHMOND OPERA;48.872028; 2.334905;75009
11 RUE LEON LHERMITTE;48.842958; 2.296931;75015
11 RUE PIRANDELLO;48.836476; 2.355895;75013
11 RUE SPONTINI;48.870006; 2.278459;75016
11 SQUARE CHATILLON;48.825684; 2.323212;75014
11/19 BOULEVARD DE CLICHY;48.883667; 2.333761;75018
110 BOULEVARD DE LA VILLETTE;48.877183; 2.371578;75019
110 BOULEVARD MAC DONALD;48.8817; 2.3822;75019
110 GALERIE DE VALOIS (RESTAURANT DU PALAIS ROYAL);48.865653; 2.338945;75001
110 RUE DE GRENELLE;48.856634; 2.320797;75007
110 RUE DE GRENELLE (MINISTERE DE L'EDUCATION);48.856634; 2.320797;75007
112 RUE AMBROISE CROIZAT/ATELIERS CHRISTOPHLE;48.8944; 2.4093;93500
